song,source,model,OPS,TPS,IPS,APS
20,drums,htdemucs,7.40390420943665,92.7679212219006,1.60124312877442,86.7383675214261
20,drums,sahtdemucs,7.40309981143621,92.7679212219006,1.60089207505484,86.7383675214261
20,other,htdemucs,7.50458632499022,92.7679212219006,1.64714928200453,86.7383675214261
20,other,sahtdemucs,7.45124425556549,92.7679212219006,1.62232792859726,86.7383675214261
20,vocals,htdemucs,7.91695660037591,92.7679212219006,1.89437501022749,86.7383675214261
20,vocals,sahtdemucs,7.90488160303011,92.7679212219006,1.88514937918909,86.7383675214261
21,bass,htdemucs,21.6116218573199,29.3882239435169,58.7092498169956,30.6186930478359
21,bass,sahtdemucs,24.4300722416646,34.68889663817,59.1121100148898,35.2810036676243
21,drums,htdemucs,8.03713425420502,90.6505181104186,8.47357229693976,63.6897564092581
21,drums,sahtdemucs,8.58149439728788,92.1999560642186,8.29709125215509,60.96376993293
21,other,htdemucs,7.85608072264927,92.7679212219006,1.84948925161547,86.7383675214261
21,other,sahtdemucs,7.88433191958891,92.7679212219006,1.86982608169108,86.7383675214261
21,vocals,htdemucs,15.4108170451067,8.82926297391886,57.9409778645745,7.72845752481687
21,vocals,sahtdemucs,14.273861628185,8.12578910602688,60.9348309489504,9.23823881372103
22,bass,htdemucs,10.2783905897975,48.3018634284171,59.1904292184143,43.8365848944617
22,bass,sahtdemucs,10.6515915521644,51.1500667463978,57.5271061610035,45.2419377445003
22,drums,htdemucs,7.35999520284654,80.8878511029185,13.9468002086633,64.1552073437062
22,drums,sahtdemucs,6.78243473652674,74.4137965399949,21.6133624010147,59.7439879687808
22,other,htdemucs,8.05537295699838,92.7679212219006,2.01441118568511,86.7383675214261
22,other,sahtdemucs,8.07222742774398,92.7679212219006,2.03123058414421,86.7383675214261
22,vocals,htdemucs,7.72162186553453,92.7679212219006,1.76247038771492,86.7383675214261
22,vocals,sahtdemucs,7.87580022272868,92.7679212219006,1.86359806698284,86.7383675214261
23,bass,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,bass,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,drums,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,drums,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,other,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
23,other,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
